,Word,Occurences
303,трохи,16
304,житті,16
305,долоні,16
306,дому,16
307,серця,16
308,губи,16
309,своїм,16
310,дуже,16
311,ній,16
312,как,16
313,візьми,16
314,листи,16
315,пахне,16
316,знов,16
317,війну,16
318,тепло,16
319,тихо,16
320,думай,16
321,жити,15
322,ніж,15
323,душі,15
324,якою,15
325,проте,15
326,цієї,15
327,зараз,15
328,бачу,15
329,лиш,15
330,починається,15
331,речей,15
332,рук,15
333,обличчя,15
334,дні,15
335,маю,15
336,стіни,15
337,нікому,15
338,говорить,15
339,можливість,15
340,мова,15
341,бодай,15
342,хліб,15
343,рік,14
344,дім,14
345,дивиться,14
346,місто,14
347,тримає,14
348,пальці,14
349,якби,14
350,яким,14
351,нехай,14
352,нарешті,14
353,сама,14
354,воно,14
355,дві,14
356,тиша,14
357,своїх,14
358,снігу,14
359,одна,14
360,живі,14
361,о,14
362,хочеться,14
363,усім,14
364,скільки,14
365,мав,14
366,сні,14
367,лишається,14
368,тіла,14
369,руках,14
370,давно,14
371,трава,14
372,себто,14
373,осінь,14
374,жили,13
375,інших,13
376,пише,13
377,можу,13
378,межі,13
379,видих,13
380,очей,13
381,наше,13
382,с,13
383,часи,13
384,буває,13
385,пояснити,13
386,іще,13
387,моє,13
388,якій,13
389,гори,13
390,тіло,13
391,перший,13
392,дай,13
393,наша,13
394,мовчання,13
395,раптом,13
396,біля,13
397,господи,13
398,відчуття,13
399,війни,13
400,бачити,13
401,україни,13
402,говорю,13
403,твоє,13
404,майже,13
405,стоїть,13
406,нашого,13
407,робити,13
408,голоси,13
409,мають,13
410,потрібно,13
411,доведеться,13
412,хочу,12
413,дим,12
414,тіні,12
415,здається,12
416,хоче,12
417,мого,12
418,своєї,12
419,груди,12
420,брати,12
421,ранок,12
422,всього,12
423,жінок,12
424,таким,12
425,скажи,12
426,біль,12
427,ніг,12
428,знаєш,12
429,неможливо,12
430,нікого,12
431,син,12
432,яку,12
433,хотів,12
434,наш,12
435,також,12
436,теплі,12
437,щойно,12
438,дерево,12
439,стосуються,12
440,такі,12
441,будеш,12
442,мало,12
443,говорять,12
444,необхідність,12
445,принаймні,12
446,кишені,11
447,туди,11
448,розумію,11
449,йде,11
450,хіба,11
451,боже,11
452,двох,11
453,слід,11
454,ноги,11
455,три,11
456,європо,11
457,птахів,11
458,пам’ять,11
459,чути,11
460,вогню,11
461,повні,11
462,воду,11
463,сто,11
464,скоро,11
465,міг,11
466,нашу,11
467,сонця,11
468,лежить,11
469,чоловіки,11
470,весна,11
471,дощ,11
472,кров’ю,11
473,ріки,11
474,дня,11
475,тінь,11
476,мала,11
477,книги,11
478,хочеш,11
479,відсутність,11
480,поза,11
481,гинуть,11
482,щоразу,10
483,такими,10
484,мовою,10
485,світі,10
486,твоєї,10
487,горло,10
488,поруч,10
489,мить,10
490,щастя,10
491,небі,10
492,кожного,10
493,другий,10
494,потреба,10
495,крім,10
496,іноді,10
497,такого,10
498,зірки,10
499,твою,10
500,україні,10
501,ріка,10
502,історії,10
503,туман,10
504,ногами,10
505,чую,10
506,голосу,10
507,віршів,10
508,радість,10
509,морок,10
510,люблю,10
511,довкола,10
512,майдані,10
513,звідки,10
514,вата,10
515,сотні,10
516,чуєш,10
517,мову,10
518,годі,10
519,добра,10
520,матері,10
521,крики,10
522,кілька,10
523,птахи,10
524,скаже,10
525,дати,10
526,їхніх,10
527,людина,10
528,складається,10
529,початок,10
530,камінь,10
531,війні,10
532,господь,10
533,ньому,10
534,звісно,10
535,право,10
536,будемо,10
537,могли,10
538,коріння,10
539,сили,10
540,рибо,10
541,слухати,10
542,вірша,10
543,бою,10
544,воді,10
545,маєш,10
546,квітня,10
547,біжи,10
548,полювання,10
549,більшості,10
550,випадків,10
551,річ,10
552,потому,10
553,адже,10
554,діва,10
555,ли,10
556,думаєш,10
557,бритва,10
558,кожна,9
559,одному,9
560,місце,9
561,чоловік,9
562,стає,9
563,пальцями,9
564,року,9
565,будь,9
566,триває,9
567,бік,9
568,серці,9
569,ким,9
570,волосся,9
571,моїм,9
572,звідси,9
573,вчора,9
574,виходить,9
575,з-під,9
576,назад,9
577,пам’яті,9
578,окрім,9
579,терпіння,9
580,вище,9
581,жодного,9
582,ранку,9
583,яке,9
584,голови,9
585,куля,9
586,кулі,9
587,душа,9
588,всю,9
589,зла,9
590,музика,9
591,кожній,9
592,роки,9
593,віри,9
594,любити,9
595,болю,9
596,різні,9
597,крок,9
598,швидко,9
599,схожа,9
600,моря,9
601,писати,9
602,тими,9
603,знали,9
604,важко,9
605,стояти,9
606,місці,9
607,інакше,9
608,легко,9
609,дивитися,9
610,днів,9
611,сприймати,9
612,такої,9
613,їхня,9
614,чоловіків,9
615,загиблих,9
616,тиші,9
617,вот,9
618,вистачить,8
619,поле,8
620,мовчки,8
621,несуть,8
622,небес,8
623,прийшли,8
624,близько,8
625,містом,8
626,таки,8
627,іншим,8
628,ледве,8
629,вздовж,8
630,таких,8
631,посеред,8
632,сестри,8
633,своїй,8
634,цілий,8
635,двадцять,8
636,вітру,8
637,знають,8
638,скажімо,8
639,цілком,8
640,погляд,8
641,дощу,8
642,миші,8
643,білі,8
644,власну,8
645,моїх,8
646,країні,8
647,пора,8
648,одну,8
649,зуби,8
650,кожне,8
651,он,8
652,тім,8
653,поезія,8
654,приходять,8
655,горлі,8
656,всьому,8
657,тілі,8
658,правда,8
659,друзі,8
660,зрозуміло,8
661,батя,8
662,початку,8
663,думаю,8
664,врешті,8
665,місті,8
666,перші,8
667,завтра,8
668,питання,8
669,іншого,8
670,немов,8
671,обережно,8
672,об,8
673,їсти,8
674,темряві,8
675,мертвих,8
676,бере,8
677,робить,8
678,чорний,8
679,голові,8
680,подих,8
681,рідко,8
682,всередині,8
683,мою,8
684,тримати,8
685,шкіру,8
686,країни,8
687,тишу,8
688,жінка,8
689,чотири,8
690,своєму,8
691,дивитись,8
692,літо,8
693,тож,8
694,коло,8
695,тобто,8
696,приходили,8
697,зрештою,8
698,пам’ятає,8
699,оскільки,8
700,відповідальність,8
701,розуміння,8
702,самому,8
703,свободою,8
704,живу,8
705,взуття,8
706,різниця,8
707,поїхали,8
708,марія,8
709,потік,8
710,живим,8
711,кінця,8
712,прийде,8
713,баба,8
714,вдихаю,8
715,цими,7
716,січня,7
717,безнадійно,7
718,сказав,7
719,повіки,7
720,існує,7
721,зміг,7
722,когось,7
723,важкі,7
724,полі,7
725,осені,7
726,країна,7
727,школи,7
728,кричать,7
729,заважає,7
730,бажання,7
731,спів,7
732,слухають,7
733,жодних,7
734,більш,7
735,останній,7
736,б’ється,7
737,стою,7
738,велика,7
739,лиця,7
740,ім’я,7
741,білий,7
742,птаха,7
743,жодної,7
744,забути,7
745,сльози,7
746,краю,7
747,горить,7
748,слава,7
749,цим,7
750,хати,7
751,думає,7
752,каміння,7
753,вгору,7
754,вірити,7
755,кличе,7
756,імена,7
757,луна,7
758,траві,7
759,знак,7
760,думати,7
761,вся,7
762,геть,7
763,вікна,7
764,тисячі,7
765,інші,7
766,рани,7
767,назавжди,7
768,відповідь,7
769,досі,7
770,уві,7
771,мабуть,7
772,даруй,7
773,глибоко,7
774,часом,7
775,пахнуть,7
776,майдан,7
777,червоний,7
778,хотіла,7
779,якось,7
780,світлі,7
781,малі,7
782,принесли,7
783,будинку,7
784,неначе,7
785,сходить,7
786,сердце,7
787,вікнами,7
788,сина,7
789,яблука,7
790,новини,7
791,аніж,7
792,рота,7
793,кажуть,7
794,народження,7
795,голосом,7
796,но,7
797,сестра,7
798,місця,7
799,зелені,7
800,падають,7
801,квіти,7
802,їхній,7
803,самотність,7
804,берега,7
805,готові,7
806,торкається,7
807,став,7
808,міняє,7
809,живіт,7
810,чорне,7
811,голову,7
812,сліди,7
813,церкви,7
814,великий,7
815,ані,7
816,працює,7
817,менше,7
818,дитячих,7
819,простір,7
820,своєю,7
821,проблеми,7
822,потреби,7
823,роблять,7
824,шлях,7
825,ненависть,7
826,сталося,7
827,дерев,7
828,пауза,7
829,сюди,7
830,травою,7
831,разу,7
832,мы,7
833,король,7
834,батьки,7
835,живих,7
836,нічного,7
837,она,7
838,інтерв'ю,7
839,двоє,7
840,схожі,7
841,розумієш,7
842,країно,7
843,потяг,7
844,марко,7
845,плечі,6
846,сліз,6
847,остання,6
848,оці,6
849,народ,6
850,людьми,6
851,почався,6
852,вийде,6
853,повтори,6
854,вулиць,6
855,домі,6
856,вміє,6
857,напевно,6
858,вічне,6
859,руці,6
860,замість,6
861,дорозі,6
862,нашій,6
863,вино,6
864,вечір,6
865,чекати,6
866,боятися,6
867,іти,6
868,хмари,6
869,«я,6
870,кажу,6
871,пан,6
872,веде,6
873,прийти,6
874,інше,6
875,дарма,6
876,нести,6
877,снігом,6
878,друзів,6
879,повзе,6
880,останню,6
881,рано,6
882,пізно,6
883,снаряд,6
884,новий,6
885,кожному,6
886,дорога,6
887,землею,6
888,вставай,6
889,легені,6
890,димом,6
891,квитки,6
892,відбувається,6
893,стане,6
894,святих,6
895,одяг,6
896,уздовж,6
897,непомітно,6
898,плаче,6
899,новин,6
900,ворота,6
901,жаль,6
902,хоть,6
903,из,6
904,к,6
905,словно,6
906,закінчується,6
907,стара,6
908,вікном,6
909,померти,6
910,маленький,6
911,дорогу,6
912,лютого,6
913,сердець,6
914,старого,6
915,одним,6
916,деякі,6
917,могили,6
918,крила,6
919,летять,6
920,мама,6
921,востаннє,6
922,батько,6
923,рух,6
924,вдих,6
925,живий,6
926,мовчать,6
927,занадто,6
928,моєї,6
929,ховається,6
930,ангели,6
931,можуть,6
932,хліба,6
933,інший,6
934,что,6
935,стають,6
936,росте,6
937,знав,6
938,спокою,6
939,оркестр,6
940,стали,6
941,навіщо,6
942,спочатку,6
943,сни,6
944,певно,6
945,мости,6
946,дива,6
947,міст,6
948,кохай,6
949,радій,6
950,написаний,6
951,назвати,6
952,боялись,6
953,сон,6
954,видно,6
955,поезію,6
956,чорних,6
957,присутність,6
958,найбільш,6
959,сумніви,6
960,вистачає,6
961,бачить,6
962,нащо,6
963,говорив,6
964,страшно,6
965,подяки,6
966,кінці,6
967,вві,6
968,словами,6
969,залишиться,6
970,дихає,6
971,троянди,6
972,бога,6
973,вчить,6
974,теплий,6
975,знати,6
976,сорок,6
977,зазвичай,6
978,холодний,6
979,літери,6
980,передбачає,6
981,події,6
982,думки,6
983,відповідальності,6
984,вчили,6
985,дає,6
986,справа,6
987,можливості,6
988,всіма,6
989,намагається,6
990,відлуння,6
991,чимось,6
992,першими,6
993,іграшки,6
994,где,6
995,бігти,6
996,глибокі,6
997,поети,6
998,гора,6
999,книжки,6
1000,нова,6
1001,старий,6
1002,ліс,6
1003,говорили,6
1004,деревами,6
1005,тумані,6
1006,загортає,6
1007,обповзаю,6
1008,десять,6
1009,киця,6
1010,ведеш,6
1011,часто,5
1012,виходити,5
1013,пливе,5
1014,ріку,5
1015,край,5
1016,звірі,5
1017,мовби,5
1018,чоловіка,5
1019,рука,5
1020,роблю,5
1021,шкіри,5
1022,попід,5
1023,зробити,5
1024,руку,5
1025,воля,5
1026,зорі,5
1027,небеса,5
1028,момент,5
1029,лікарні,5
1030,пори,5
1031,серпні,5
1032,пісня,5
1033,запах,5
1034,дитячі,5
1035,рухи,5
1036,падає,5
1037,відразу,5
1038,зброю,5
1039,водою,5
1040,твоєю,5
1041,риби,5
1042,самих,5
1043,янгол,5
1044,сніги,5
1045,душу,5
1046,сонні,5
1047,значить,5
1048,краплі,5
1049,попереду,5
1050,долоню,5
1051,самим,5
1052,моєму,5
1053,моєю,5
1054,здатен,5
1055,лишилось,5
1056,постійно,5
1057,навколо,5
1058,напрямку,5
1059,повернеться,5
1060,взяти,5
1061,останнє,5
1062,іди,5
1063,полум’я,5
1064,березня,5
1065,нових,5
1066,знаки,5
1067,диму,5
1068,золоті,5
1069,давній,5
1070,якісь,5
1071,маму,5
1072,молитва,5
1073,куль,5
1074,прийшов,5
1075,висоти,5
1076,спокійно,5
1077,постаті,5
1078,маріє,5
1079,м,5
1080,натомість,5
1081,поет,5
1082,красный,5
1083,змінити,5
1084,повірити,5
1085,встиг,5
1086,знайти,5
1087,ближче,5
1088,миті,5
1089,кіт,5
1090,пісні,5
1091,весни,5
1092,повільно,5
1093,місяця,5
1094,перше,5
1095,україно,5
1096,розуміє,5
1097,українці,5
1098,ледь,5
1099,радості,5
1100,миру,5
1101,забуваючи,5
1102,твоїм,5
1103,зброї,5
1104,вітрі,5
1105,тече,5
1106,мук,5
1107,мусиш,5
1108,йти,5
1109,шевченко,5
1110,віра,5
1111,хлопчик,5
1112,потрібні,5
1113,зможе,5
1114,р,5
1115,першого,5
1116,лежать,5
1117,болить,5
1118,пити,5
1119,дітям,5
1120,вийдуть,5
1121,навпаки,5
1122,небом,5
1123,ходить,5
1124,права,5
1125,зразу,5
1126,головах,5
1127,листа,5
1128,маленька,5
1129,виходять,5
1130,відчувати,5
1131,імен,5
1132,вогні,5
1133,заради,5
1134,військо,5
1135,спить,5
1136,рукави,5
1137,міцно,5
1138,опіки,5
1139,ворога,5
1140,наліво,5
1141,направо,5
1142,стебла,5
1143,зникає,5
1144,шукати,5
1145,бойових,5
1146,однаково,5
1147,згадає,5
1148,письмо,5
1149,останнього,5
1150,білих,5
1151,дощі,5
1152,знаходиться,5
1153,триматись,5
1154,злого,5
1155,власних,5
1156,ростуть,5
1157,варто,5
1158,крим,5
1159,сумніву,5
1160,спиною,5
1161,виключно,5
1162,холодна,5
1163,чує,5
1164,далеко,5
1165,страху,5
1166,втратити,5
1167,чиє,5
1168,насамперед,5
1169,забув,5
1170,винен,5
1171,співай,5
1172,дно,5
1173,вигнання,5
1174,носи,5
1175,поетів,5
1176,білим,5
1177,самий,5
1178,музику,5
1179,вірить,5
1180,наповнена,5
1181,п’ять,5
1182,роті,5
1183,піску,5
1184,твоєму,5
1185,моїй,5
1186,ніжністю,5
1187,вороги,5
1188,сміється,5
1189,виводить,5
1190,говори,5
1191,їхнім,5
1192,дороги,5
1193,очима,5
1194,сказане,5
1195,бачили,5
1196,маючи,5
1197,доволі,5
1198,останні,5
1199,усвідомлена,5
1200,виглядає,5
1201,співати,5
1202,стосується,5
1203,певен,5
1204,розмови,5
1205,несприйняття,5
1206,мешканці,5
1207,вибір,5
1208,весь,5
1209,говориш,5
1210,спокій,5
1211,кінь,5
1212,великі,5
1213,темряви,5
1214,нічних,5
1215,текст,5
1216,нічні,5
1217,стало,5
1218,правду,5
1219,траву,5
1220,пташина,5
1221,стріляти,5
1222,попіл,5
1223,винних,5
1224,сказано,5
1225,починаються,5
1226,діляться,5
1227,борис,5
1228,писала,5
1229,імені,5
1230,плакати,5
1231,світи,5
1232,борозни,5
1233,лежали,5
1234,криком,5
1235,осінні,5
1236,риб,5
1237,раніше,5
1238,кажеш,5
1239,мовчу,5
1240,кроків,5
1241,селі,5
1242,шляхом,5
1243,відпускай,5
1244,мами,5
1245,потрібна,5
1246,залпового,5
1247,«град»,5
1248,по-справжньому,5
1249,серпня,5
1250,перекладу,5
1251,наталя,5
1252,запам’ятають,5
1253,надвечір,5
1254,б’єш,5
1255,фото,5
1256,темряву,5
1257,роботу,5
1258,минав,5
1259,з’являється,5
1260,промені,5
1261,голодомор,5
1262,старості,5
1263,вересня,5
1264,чорної,5
1265,говоритиму,5
1266,усіма,5
1267,гомер,5
1268,річка,5
1269,торкайся,5
1270,села,5
1271,люляй,5
1272,витримує,5
1273,лейбе,5
1274,тишею,5
1275,говоріть,5
1276,дурня,5
1277,чесно,4
1278,скажуть,4
1279,звикли,4
1280,мушу,4
1281,ходили,4
1282,починаю,4
1283,тіл,4
1284,пес,4
1285,схожий,4
1286,вікон,4
1287,першої,4
1288,вранці,4
1289,крилами,4
1290,розкажу,4
1291,грудях,4
1292,вулицю,4
1293,чужого,4
1294,шкірі,4
1295,рукою,4
1296,злі,4
1297,живемо,4
1298,вічні,4
1299,однією,4
1300,побачиш,4
1301,сидить,4
1302,ідуть,4
1303,снах,4
1304,високо,4
1305,цілу,4
1306,зсередини,4
1307,птахами,4
1308,безодні,4
1309,просити,4
1310,срібні,4
1311,номер,4
1312,гострі,4
1313,зібрати,4
1314,сповідь,4
1315,ціле,4
1316,зранку,4
1317,шиї,4
1318,дивляться,4
1319,виходиш,4
1320,пішли,4
1321,містах,4
1322,золота,4
1323,снігах,4
1324,василь,4
1325,тугий,4
1326,зіниці,4
1327,готовий,4
1328,кишенях,4
1329,брами,4
1330,сторінці,4
1331,папір,4
1332,сторінки,4
1333,надію,4
1334,світлий,4
1335,зерно,4
1336,твоїй,4
1337,зненацька,4
1338,допоки,4
1339,майбутнє,4
1340,дорогою,4
1341,червоних,4
1342,дається,4
1343,вміють,4
1344,виноград,4
1345,міцними,4
1346,повертаються,4
1347,рослини,4
1348,вихід,4
1349,золотими,4
1350,смак,4
1351,сміху,4
1352,взимку,4
1353,стоїмо,4
1354,вітаю,4
1355,рану,4
1356,грушевського,4
1357,лінія,4
1358,тепле,4
1359,вогнем,4
1360,стіна,4
1361,рип-рип,4
1362,вікно,4
1363,шляху,4
1364,нашому,4
1365,сьнег,4
1366,чорны,4
1367,дым,4
1368,ты,4
1369,спогади,4
1370,вишня,4
1371,починає,4
1372,зимові,4
1373,переклад,4
1374,останніх,4
1375,каски,4
1376,знамена,4
1377,найкраще,4
1378,приїхав,4
1379,зад,4
1380,скажу,4
1381,стояв,4
1382,чай,4
1383,всігда,4
1384,ладно,4
1385,навесні,4
1386,лишь,4
1387,ситуацію,4
1388,відкриті,4
1389,сиджу,4
1390,будь-який,4
1391,руху,4
1392,відповісти,4
1393,пекло,4
1394,спробувати,4
1395,шкіра,4
1396,гаразд,4
1397,першій,4
1398,бруківку,4
1399,вдома,4
1400,злості,4
1401,революція,4
1402,відомо,4
1403,боїться,4
1404,темні,4
1405,сидимо,4
1406,слухай,4
1407,вперше,4
1408,губах,4
1409,знайшла,4
1410,тяжко,4
1411,од,4
1412,перебути,4
1413,довгий,4
1414,тримається,4
1415,тієї,4
1416,двома,4
1417,танці,4
1418,бабуся,4
1419,мир,4
1420,волі,4
1421,вірою,4
1422,світлом,4
1423,шукає,4
1424,втіхи,4
1425,ран,4
1426,світиться,4
1427,спини,4
1428,палити,4
1429,єдиний,4
1430,вітає,4
1431,шию,4
1432,тато,4
1433,ковдри,4
1434,нового,4
1435,пишу,4
1436,дитя,4
1437,священик,4
1438,настільки,4
1439,дитина,4
1440,спи,4
1441,передбачити,4
1442,лягають,4
1443,ягоди,4
1444,солі,4
1445,назустріч,4
1446,холодних,4
1447,українська,4
1448,роком,4
1449,повік,4
1450,світом,4
1451,образи,4
1452,селом,4
1453,години,4
1454,его,4
1455,друг,4
1456,мне,4
1457,кульки,4
1458,річки,4
1459,брата,4
1460,йдуть,4
1461,дерев’яні,4
1462,кораблі,4
1463,забрати,4
1464,серпень,4
1465,помер,4
1466,ходять,4
1467,глухо,4
1468,корінь,4
1469,дощем,4
1470,річок,4
1471,міцним,4
1472,розп’яття,4
1473,їде,4
1474,тісно,4
1475,іншому,4
1476,живуть,4
1477,загалом,4
1478,марно,4
1479,трави,4
1480,мой,4
1481,скласти,4
1482,чужими,4
1483,своїми,4
1484,білого,4
1485,тане,4
1486,кудись,4
1487,перехожих,4
1488,просили,4
1489,казала,4
1490,холоду,4
1491,коліна,4
1492,написала,4
1493,пережити,4
1494,зиму,4
1495,прямо,4
1496,кількість,4
1497,могил,4
1498,пливи,4
1499,стернова,4
1500,маршрут,4
1501,лети,4
1502,таємниці,4
1503,милосердь,4
1504,одразу,4
1505,можемо,4
1506,захистити,4
1507,знайомих,4
1508,обличчям,4
1509,слухає,4
1510,співи,4
1511,вік,4
1512,звати,4
1513,неприкаяні,4
1514,гілля,4
1515,уперто,4
1516,прийом,4
1517,поезії,4
1518,вод,4
1519,знаючи,4
1520,лице,4
1521,жив,4
1522,дзвони,4
1523,таку,4
1524,віру,4
1525,невагомий,4
1526,крило,4
1527,вагання,4
1528,пітьма,4
1529,співайте,4
1530,йдучи,4
1531,хочуть,4
1532,наскільки,4
1533,кольору,4
1534,тілом,4
1535,меч,4
1536,малими,4
1537,забувати,4
1538,дна,4
1539,біла,4
1540,пам’ятаю,4
1541,змій,4
1542,–о-о–,4
1543,холодній,4
1544,тепла,4
1545,книгу,4
1546,завгодно,4
1547,око,4
1548,випадково,4
1549,знаємо,4
1550,чомусь,4
1551,пів,4
1552,забирає,4
1553,доми,4
1554,величезна,4
1555,шкода,4
1556,днями,4
1557,ягід,4
1558,глибше,4
1559,гірше,4
1560,гнізда,4
1561,більшість,4
1562,сказаного,4
1563,подобається,4
1564,дещо,4
1565,мужність,4
1566,протягом,4
1567,найгірше,4
1568,хотіли,4
1569,розмов,4
1570,проблема,4
1571,дії,4
1572,залежність,4
1573,минулого,4
1574,пішов,4
1575,дорослих,4
1576,відповідати,4
1577,намагаються,4
1578,вірніше,4
1579,ніяк,4
1580,вибору,4
1581,неминучість,4
1582,перш,4
1583,починаєш,4
1584,важливо,4
1585,переконати,4
1586,сил,4
1587,нагадує,4
1588,потребує,4
1589,просторі,4
1590,нашими,4
1591,автомати,4
1592,зупинити,4
1593,якась,4
1594,будинки,4
1595,російської,4
1596,говорят,4
1597,імлі,4
1598,тисячу,4
1599,сильно,4
1600,найважливіше,4
1601,зможеш,4
1602,повернемося,4
1603,облич,4
1604,тікати,4
1605,пил,4
1606,літа,4
1607,лицем,4
1608,капелане,4
1609,джерела,4
1610,спалили,4
1611,потоків,4
1612,читати,4
1613,пророків,4
1614,роса,4
1615,згадувати,4
1616,давай,4
1617,гуменюк,4
1618,юнак,4
1619,називають,4
1620,відпускає,4
1621,намертво,4
1622,стару,4
1623,якесь,4
1624,поволі,4
1625,головою,4
1626,ее,4
1627,они,4
1628,был,4
1629,єдина,4
1630,камені,4
1631,пробачення,4
1632,залишився,4
1633,палять,4
1634,хвиль,4
1635,зморшки,4
1636,відстань,4
1637,га-га,4
1638,прийшла,4
1639,хату,4
1640,пам'ять,4
1641,наново,4
1642,назовсім,4
1643,язик,4
1644,течії,4
1645,пам'яті,4
1646,цвинтар,4
1647,війська,4
1648,родинні,4
1649,зв’язки,4
1650,радісно,4
1651,промінь,4
1652,знала,4
1653,голод,4
1654,мед,4
1655,дітьми,4
1656,обійми,4
1657,можете,4
1658,голка,4
1659,часів,4
1660,обох,4
1661,ховати,4
1662,відпущений,4
1663,вгорі,4
1664,говорячи,4
1665,грунт,4
1666,великого,4
1667,тривоги,4
1668,дошці,4
1669,их,4
1670,ступає,4
1671,сім,4
1672,запитання,4
1673,тією,4
1674,померли,4
1675,тягне,4
1676,осіннього,4
1677,любить,4
1678,мові,4
1679,жовтня,4
1680,хвиля,4
1681,пізнає,4
1682,вперед,4
1683,коцький,4
1684,будували,4
1685,мститься,4
1686,миє,4
1687,витирає,4
1688,кинуті,4
1689,будьмо,4
1690,дитинства,4
1691,називай,4
1692,стожари,4
1693,марина,4
1694,подякувати,4
1695,навпіл,4
1696,пам'ятаю,4
1697,підходьмо,4
1698,героїв,3
1699,належить,3
1700,народу,3
1701,отже,3
1702,майдану,3
1703,щити,3
1704,мури,3
1705,почнеться,3
1706,лишився,3
1707,пітьму,3
1708,собака,3
1709,усією,3
1710,чекаючи,3
1711,шум,3
1712,відчаю,3
1713,шерсть,3
1714,власне,3
1715,порожній,3
1716,бувають,3
1717,колір,3
1718,ліхтарів,3
1719,кожну,3
1720,залишається,3
1721,європі,3
1722,сидіти,3
1723,хабровський,3
1724,веснянки,3
