id;poem_author;post_author;date_posted;language;in_translation;poem_full_text;number_of_likes;number_of_comments;number_of_shares;
11;Tadeusz Chabrowski;Ivan Andrusiak;1/3/2014;Ukrainian;Yes;"Тадеуш Хабровський
Портрет із сімома пальцями
Ідеально вдягнений чоловік (білий комірець,
краватка-метелик, квітка в петлиці) тримає в семипалій
руці лампочку (крізь два додаткові пальці
йде живлення від аорти), у вітальні так світло,
що можна роздивитися веснянки на шкірі
якби хтось торкнувся клавіш фортепіано, одізвався б
меланхолійний Шопен або радісний Моцарт,
побуряковілий від щастя з’явитись на публіці.
Чоловік із семипалою рукою
щасливий у цьому житті, він віддає світові все,
що має, хоча й свідомий своєї убогості
він із формочки для льоду зумів зробити човна,
чайну ложку підняв замість щогли
і піймав нею вітер
який винесе його з нареченою на середину озера.
Вона горнеться до нього й серце її переповнене радістю,
вона шепоче, що буде йому вірною аж до смерті,
навіть якщо сонце зайшло за хмару
він схвильований, семипалу руку кладе на груди:
«Нехай буде воля Твоя, Всемогутній Боже, славлять Тебе
зорі й небеса, хай прославляє Тебе наше кохання».
Tadeusz Chabrowski
Portret z siedmioma palcami
Mężczyzna w nienagannym stroju (biały kołnierzyk,
muszka, kwiat w butonierce) trzyma w dłoni
z siedmioma palcami żarówkę (dwa dodatkowe palce
dostarczają prąd z aorty) salon zalany jest światłem,
można rozpoznać piegi na skórze
gdyby ktoś nacisnął klawisz w fortepianie odezwałby się
melancholijny Szopen albo radosny Mozart,
purpurowy ze szczęścia przed widownią.
Mężczyzna z dłonią z siedmioma palcami
jest szczęśliwszy w życiu, rozdaje światu wszystko
co ma, choć wie, że sam siebie uboży
potrafi z miseczki na lody zrobić łódkę,
z łyżeczki do herbaty wyprofilować maszt,
który złapie w żagle wiatr
i wywiezie go z narzeczoną na środek jeziora.
Ona się tuli do niego z nadmiaru radości w sercu,
szepcze o wierności aż do śmierci,
nawet gdyby słońce zaszło za chmury
on wzruszony, dłoń z siedmioma palcami kładzie na piersi:
„Bądź wola Twoja Wszechmocny Panie, chwalą Cię
gwiazdy i przestworza, niech Cię chwali nasza miłość”.";25;1;;
12;Oleksandr Irvanets;Oleksandr Irvanets;1/3/2014;Ukrainian;No;"3 СІЧНЯ 
***
Рядки мої важкі та кострубаті, 
І сенсу в них не знайдеш ти в момент. 
Так, я служив. Між іншим - у стройбаті. 
Який же я у біса декадент?";80;1;2;
13;Váno Krueger;Váno Krueger;1/3/2014;Ukrainian;No;"Здесь разговоры
А там на рынке
Свиные головы
С предсмертными улыбками

От солнца щурясь
На нас глядят
Полными грусти
Небытия";8;1;2;
14;Tadeusz Chabrowski;Ivan Andrusiak;1/4/2014;Ukrainian;Yes;"Тадеуш Хабровський
Вуді Аллен каже
бо в злі часи живемо,
і психіатри в лікарні нерідко плутають дроти,
до яких нас підключено,
і найдужчі спортсмени мордуються нападами істерії
і священика
неспроможного відрізнити парафіяльну секретарку
від двох яєць, зварених на м’яко,
викликають до єпископального суду за перелюб
і астронавта, запрошеного на конференцію
туристичних аґенцій до Сан-Франциско,
готельна покоївка звинувачує
в домаганні її перевтомленої устриці
та буває і ще більший скандал:
коли хакерам вдається підслухати розмову папи
з президентом Сполучених Штатів
про десятину, що її слід платити за душі
засуджених на вічні муки, яким
не було надано постійної прописки
на небі, й тоді в кожного громадянина
ніж озлоблення розкривається в кишені.
Tadeusz Chabrowski
Woody Allen twierdzi
że żyjemy w złych czasach,
często psychiatrzy w szpitalu plączą druty,
do których nas podłączają,
najzdrowsi atleci ulegają atakom histerii
ksiądz katecheta,
który nie potrafi odróżnić parafialnej sekretarki
od dwóch jaj ugotowanych na miękko,
jest pozwany przed sąd biskupi za cudzołóstwo
astronuta, który został zaproszony na konferencję
agencji turystycznych do San Francisco,
jest oskarżony przez hotelową sprzątaczkę
o molestowanie jej przemęczonej ostrygi
bywają jeszcze większe skandale:
kiedy hakerom uda się podsłuch rozmowy papieża
z prezydentem Stanów Zjednoczonych
na temat dziesięciny, jaką trzeba płacić za dusze
potępionych, którym nie udzielono stałego pobytu
w niebie, każdemu obywatelowi
otwiera się wtedy nóż rozgoryczenia w kieszeni.";17;1;;
15;Tadeusz Chabrowski;Ivan Andrusiak;1/4/2014;Ukrainian;Yes;"Тадеуш Хабровський
Пори року
Колінкую на зоранім полі, пальцем
обмацую небо – десь між однією хмарою
й іншою є Нескінченний – безперечно є
– і, будь ласка, не перебивайте мене
ось є – наче хуртовина в яру вимітає цвіль
осені,
є так, як із плином часу змінюються пори року
у серпні побачиш Його між барвистих сонячних бризок,
у березні – в облямівку плаща Венери,
у грудні сидить на величезному стільці –
один із дванадцяти немічних місяців.
Мов одужуючи, ледве ворушу пальцями лівої ноги,
але зір у мене чудовий, і голосно разом із ластівками
звістую про те, що бачив.
Tadeusz Chabrowski
Pory roku
Klękam na zaoranym polu, kciukiem
dotykam nieba – gdzieś pomiędzy jednym obłokiem
a drugim jest Nieskończony – na pewno jest
– i proszę mi nie przerywać
jest jak nawałnica w wąwozie, wymiata stęchliznę
jesieni,
jest kiedy porom roku zmienia bieg godzin
w sierpniu widać Jego kolorowy piuropusz na słońcu,
w marcu rąbek płaszcza w pobliżu Wenus,
w grudniu siada na ogromnym krześle
pośrodku niedołężnych księżyców.
Jako rekonwalescent ledwie poruszam palcami lewej stopy,
ale wzrok mam dobry i razem z jaskółkami krzyczę
głośno o tym, co widziałem.";12;1;;
16;Oleksandr Irvanets;Oleksandr Irvanets;1/4/2014;Ukrainian;No;"А СВЯТО ТРИВАЄ...
***
Новорічна пісня рине 
Від дверей і до дверей, 
І встає моя країна 
Не лише на Сашу Ґрей!";63;1;4;
17;Ostap Slyvynsky;Ostap Slyvynsky;1/4/2014;Ukrainian;No;"ХАЙКУ З МАЙДАНУ (завершення)
Ідуть на площу.
Приводять життя, ніби
дітей до школи.
*
Ще трохи, й Різдво.
Понесуть Немовля вздовж
залізних щитів.
*
Тепер бачиш: ти
сам собі глина й гончар,
обпалений і міцний.";63;3;8;
18;Boris Khersonsky;Boris Khersonsky;1/5/2014;Russian;No;"Спиричуэл

Запиши в тетрадку
цифры по порядку.
Я говорю: десятью десять,
игрушки на елке пора развесить,
девятью девять — 
Мария, Дева-Мать,
восемью восемь — 
хвалу возносим,
семью семь — 
возвещаем всем,
шестью шесть — 
Благая весть,
пятью пять — 
снизошла благодать,
четырежды четыре — 
Спасенье в мире,
трижды три — 
в небеса посмотри,
дважды два — 
Звезда Рождества,
единожды Един
Иисус, Божий Сын,
в Вифлееме Он рожден! ";75;3;10;
19;Boris Khersonsky;Boris Khersonsky;1/5/2014;Russian;No;"***

Пробудитесь, цари! Поднимайтесь скорей!
Здесь, на Ближнем Востоке свергают царей,
волокут и дырявят затылки
из советских лихих пистолетов. Народ
помутился, как разум, повсюду разброд
и шатания, гнев, перекошенный рот
и от страха трясутся поджилки.

Пробудитесь, цари! Вот в окошко звезда,
воссияла. Восстаньте, спешите туда,
где по тучным равнинам гуляют стада,
не боясь ни волков, ни разбоя.
Где на тонкой свирели играет пастух,
где под взглядами высохших, гнутых старух
детвора хорошеет собою.

Там над мягкой травою летит светлячок.
Там над яслями ослик стоит и бычок.
Как подумаешь - жалкий, пустынный клочок,
территории, столь отдаленной,
что в имперской столице забыли о ней,
станет центром Вселенной - на несколько дней
изменившейся и просветленной.

Безоружные стражи младенчески спят.
Ходят рыжие львы среди белых ягнят.
Мясники без работы. Людей не казнят
палачи. Не стесняют свободы
ни оковы, ни стены. Деревья цветут
и плоды созревают, и зерна дают
небывалые пышные всходы.

Возрождается жизнь из-под каменных плит,
и уже ничего никогда не болит,
и Младенец прекрасный тихонько гулит
на коленях Царицы Небесной.
И такой несказанный повсюду покой!
раз в Историю может случиться такой
под ужасною звездною бездной.

На пропитанной кровью и ложью земле,
где живут в тесноте и плодятся в тепле,
где расставлены крепости, как на столе
перед ужином скудным - посуда,
остается надеяться на чудеса.
Вот, ключи принесут, отворят небеса
и Звезда воссияет оттуда.

январь 2012";93;2;9;
20;Oleksandr Irvanets;Oleksandr Irvanets;1/5/2014;Ukrainian;No;"***
В еротичних снах приходить 
До закоханих дівчат, 
І ще двох таких приводить 
Триєдиний кандидат!
В нього форми бездоганні, 
Як у гречеських скульптур,
І ведуть ці форми гарні 
Прямиком у другий тур! ";104;7;11;
21;Andriy Lyubka ;Andriy Lyubka ;1/6/2014;Ukrainian;No;"Святвечір мене зустрів у дорозі.
Зустрів на землі, а посеред неба
висів молодик. У Великому Возі
і Великій Ведмедиці була потреба.

Крім неба й світла, була світлиця
і запах шкіри, і контур плоті,
що звав до себе. Нехай святиться
усе, що доти було і потім.

Бо ніч передерла нам горло спазмом.
Чифірили в келіях старі монашки.
Я не забуду твої оргазми, 
щиру наївність, дитячі замашки,

як вікопомну звізду не забуду.
Спогад про тебе згасити не в змозі.
Ніч огортає мене, як Юду.
Святвечір мене зустрічає в дорозі.

(с) 06.01.2006";67;5;5;
22;Boris Khersonsky;Boris Khersonsky;1/6/2014;Russian;No;"***
Волхвы иным путем возвратятся в страну свою.
Пастухи вернутся к отарам. Овцы пойдут под нож.
Мария сядет за прялку, поскольку в этом краю
женщины заняты делом. Прогибаясь под тяжестью нош,

перебирая ногами, ослик уйдет в никуда,
Иосиф вернется к старинному плотницкому ремеслу.
По тем же холмам пройдут иные стада.
Ирод умрет, но солдаты будут прислуживать злу.

Младенец станет Ребенком, смышленым не по годам.
Будет творить чудеса и помогать отцу.
Ангелы разлетятся по райским плодовым садам.
Харчевни откроют двери страннику и пришлецу.

Жертвенные животные будут на алтаре
сгорать, посылая к небу жирный, тяжелый дым.
Благоуханье, приятное Господу. Во дворе
Храма будут менялы заниматься делом своим.

На тридцать лет все войдет в привычную колею.
Каждодневный унылый труд приносит доход и тоску.
Мария сидит за прялкой, напевая песню свою.
Иисус и Иосиф к доске прилаживают доску.";163;12;32;
23;Oleksandr Irvanets;Oleksandr Irvanets;1/6/2014;Ukrainian;No;"ПІД НАСТРІЙ 
***
Світить високо Зірка над нашим Вертепом, 
І не збити її ні кийком, ні кастетом. 
Не обдурить нас Ірод - 
Швидше трафить го шляк. 
Й ми здолаємо шлях!";67;2;4;
24;Serhii Zhadan;Serhii Zhadan;1/6/2014;Ukrainian;No;"Дорогі брати і сестри! Всім веселих свят! Це ось вам під ялинку.

+ + + 

Цілу ніч вона співає в своїй кімнаті.
Пальці у неї в крові та цукровій ваті.
Печаль випікає зсередини вени,
і птахами кричать портові сирени.
Боже, борони королеву на нашій естраді.

Цілий ранок вона пакує свої валізи.
В неї ще три доби до закінчення візи.
В неї ще повен бак бензину
і список подяк божому сину –
стільки всього цікавого
для кримінальної експертизи.

Ніхто не заважає їй виїхати ще сьогодні.
З’явитися з боку ночі.
Рушити в бік безодні.
Порожній гостел. Горішнє ліжко.
Зачитана телефонна книжка,
де всі номери з міжміських
перетворюються на міжнародні.

Ніхто не заважає їй говорити чітко й просто
пишучи повідомлення, хоч іноді вдаватись до прози,
пояснити нарешті, що тоді сталось,
до чого тут втома, до чого старість.
Ніхто їй не заважає.
Але ніхто й не просить.

Про що просити людину, в якої на серці втрата,
в душі – розлука і ніжність,
в долоні – ручна граната,
в легенях – срібні холодні тороси,
в спогадах – затонулі матроси.
Навіть серце її має номер музейного експоната.

Я теж знаю усе і не заважаю,
зважую все, залишаю, але не зважаю.
Малюнок на шкірі,
гострі плечі,
двадцять хвилин, щоб зібрати речі –
сухе вино цьогорічного урожаю.

Цілий вечір вона сидить у чорному светрі.
Рухи її чіткі, бажання вперті.
Цілий тиждень на спів і сповідь,
Ціла зима, щоб чекати на повінь.
Ціле життя на те, щоб не боятися смерті.

+ + + 

Зранку тут падає сніг, ніби міняють лаштунки.
Шиї в жінок беззахисні, як мармур узимку.
Сплять на зупинках чорні,
дивляться в небо турки,
видивляються поміж хмар свою сутінкову зірку.

Слухають недовірливо німоту невідому,
забувають хто із ким спав і хто проти чого боровся.
Ти в цей час прокидаєшся й виходиш із дому,
і вітер відразу підхоплює
прапор твого волосся,

розтинає зсередини вологі волокна світу,
зрушує і розламує серцевину озону.
З таким чорним прапором, проти такого вітру
лише захищати столиці,
з яких пішли гарнізони,

лише іти приступом на арабські фортеці,
рушити мури християнських укріплень,
під таким знаменом
лише збирати підлітків при небезпеці
і салютувати птахам із найвищої крівлі.

Хай знають, що в цих містах не всі ще склали зброю,
хай бачать, що хтось іще відбиває навалу,
хай думають, що ми займаємося веселою грою,
хай розглядають хмари,
що сунуть з-за перевалу.

…Птахи в цей час курсують
вимороженим безмежжям,
повітря в цей час розривається між сушею та водою,
ти в цей час ідеш листопадовим узбережжям,
узбережжя в цей час слідкує за твоєю ходою.

#zhadan #жадан See less";168;36;;
25;Vasyl Makhno;Vasyl Makhno;1/6/2014;Ukrainian;No;"Різдвяний вірш

не проспали б волхви – не змигнули б звізду
ту що каже тобі  «я тебе приведу»
золота наче пряник на згуслім меду
золота як кориця
я кажу їй: веди серце риби й плавник
узувайся в сандалі чи мій черевик
хоч з верблюжої шерсті одежа на них
і кришталь замість серця

а в базарських снігах пан господар Василь
моїм серцем дитячим пшеницю косив
і водив по оборі без жодних зусиль
й по снігах свою челядь
я кажу: що я звідси що серце з крижин
я прохухав у шибці  в підкладку зашив
а волхвів я ще вчора самих  залишив
при шатрі й при вечері

світло бризнуло їм молоком верблюдиць
я кажу: що я нині і сам заблудивсь
за зіницею зірки від якої збудивсь
прочинялися двері
я лежав в серці риби тонким плавником
янгол злизував губи своїм язиком
затуляючи очі прозорим крилом
і нитками з паперу

в пучці шерсті верблюжій  діоптрій звізди
і розсунуті межі і срібло води
пастухи і рибалки слова і роди
рукописні і книжні
княжих шатер дірявий тугий оксамит
в геометрії світла крім ліній самих
підсувались верблюди поближче самиць
залишалися тижні

залишались сніги й мій плавник як кермо
моє серце на нитці гуділо само
серце риби в повітрі лишало клеймо
пучку світла верблюжу
зірка та що веде каже: йдем на раз-два
щоби нас пригорнуло світло Різдва
що тримає в зіниці  вола і волхва
смерть  твою й  душу

2013
";46;2;5;
26;Oleksandr Irvanets;Oleksandr Irvanets;1/7/2014;Ukrainian;No;"Навіть не пробуйте вгадати автора! 
***
На Різдво в Україні діються речі 
потаємні й вічні. Скажімо, місяць 
виявляється зайвим, тому Святвечір 
переходить не в ніч, над якою висять 
херувими сонні, а в ніч — як море, 
по якій навряд чи спроможні трії 
мандрівні царі, подолавши гори, 
своєчасно встигнути до Марії. 
Це, однак, не значить, що все даремно, 
всі прогнози, прикмети цілком опуклі. 
Попри те, що зимно і те, що темно, 
неминучим є чудо, скажімо, в Дуклі, 
чи де-небудь. Це, як і з'ява комети, 
як сама зоря, що провадила, пасла 
пастушків, ягнят, як і всі предмети, — 
все збувається: Йосиф, яскиня, ясла, 
коляда збувається, сіно, свічка. 
А проте — лишень у вертепній скрині, 
до якої доступ і вхід крізь вічка, 
бо насправді нема яскині, нині 
я, здається, готовий прийти з дарами, 
хоч діряво в кишенях, а в небі сіро. 
Тут мене ловили вітрини, брами. 
Треба їхати. Може, сконає Ірод.";112;13;21;
27;Oleksandr Irvanets;Oleksandr Irvanets;1/7/2014;Ukrainian;No;"ІНШИЙ ПОГЛЯД  
***
Щось замілка колядників ріка, 
Та й з них практично кожен (чи то кажний)
Вславляє не Христа, а п'ятака, 
Чи інше божество, що зветься ""Руб Бумажний""...";82;5;7;
28;Oleh Kotsarev;Oleh Kotsarev;1/8/2014;Ukrainian;No;"Різдво на мокрій сторінці підручника історії:
краплі дощу
хоч якимись прикрасами
на туман прилипають,
а з кінцевої зупинки метро,
вже за містом,
виходить вертеп і суне лісом
тіні гілок аж до неба,
папір під ногами все більш розкисає,
й попереду щось тьмяніє –
що то, Царю – болото безмежне?
що то, Смерте – калюжа бездонна?
ні, то кома, нею не дуже зграбно
скінчується останній рядок
цієї сторінки,
котра зараз перегорнеться – 
і…";32;2;2;
29;Ostap Slyvynsky;Ostap Slyvynsky;1/8/2014;Ukrainian;No;"БУРШТИН
Скажи, то був жарт? Я копа́в
цілу ніч, як ти мені наказала,
миші з мене сміялися. 
Здавалось, я бачу, як по той бік
нагрівається листя,
як там збирають дітей до школи,
одягаючи їм білі комірчики,
як перевіряють, чи вимкнули праску,
як підливають петунії з бляшаної 
поливалки. 
І поклявся б, що чую, 
як б’ється серце крізь глину. А виходить, 
дарма турбував надію?
Дарма гортав землю, шукаючи в ній
хоч один світлий рядок?
Поясни мені це, доки стою,
роздивляючись власну долоню,
на якій – під самим безіменним пальцем,
де терло руків’я лопати, –
наливається зерно бурштину,
ніби лампа, ненадовго увімкнена
в якомусь моєму чистилищі
моєю ж рукою.";49;2;1;
30;Andrij Bondar;Andrij Bondar;1/9/2014;Ukrainian;No;"Коротка пісня про любов і довіру, про довіру без любові і любов без довіри
Люба моя, спали вишиванки мої,
Про цілунки забудь і про форму моїх геніталій.
Я працюю віднині проектом Банкової.
Так сказали сьогодні Арсеній, Олег і Віталій.";189;16;3;
31;Oleksandr Irvanets;Oleksandr Irvanets;1/10/2014;Ukrainian;No;"НІЧ НА 11-те
***
Змивай новорічне похмілля.
Для тебе сумна новина:
Скінчилося перемир'я, 
У твоїй країні - війна!
Підкралась вона зненацька, 
Некликана і незвана, 
Війна оця громадянська, 
Велика і вітчизняна.
Що скажеш ти синові, доньці, 
Або чужим дітлахам, 
Допоки в твоїй сторонці 
Панує неситий хам? 
І як воно буде - нести 
В майбутнє оцю вину?!
Збираймося, браття і сестри.
Пора іти на війну!..";280;5;270;
32;Oleksandr Irvanets;Oleksandr Irvanets;1/10/2014;Russian, Ukrainian;No;"10 СІЧНЯ 
Мої друзі-меломани типу Andrij Bondar чи Євген Лущиков 
мусять з юних років знати прекрасну пісню ""Хрустальные цепи"" в  виконанні Філіпа Кіркорова. Так ось на її мотив - цей вірш:
***
Духовные скрепы, духовные скрепы 
На себя примеряем. 
Потому мы свирепы, ох как мы свирепы, 
Когда скрепы теряем!";28;12;0;
33;Andrij Bondar;Andrij Bondar;1/11/2014;English, Ukrainian;No;"Andrij Bondar was listening to Balanescu Quartet.
January 11, 2014  · 
Чеше Гепа гепу Допі,
Чеше Допа дупу Гепі.
Гепа – Допі: ""Are you dopey!""
Допа – Гепі: ""No, I'm happy!""";391;23;39;
34;Oksana Kutsenko;Oksana Kutsenko;1/12/2014;Ukrainian;No;"...Але два – не число. Споконвіку
два – це біль, посталий із власної тіні,
це гітара, що розпачем живиться із любові,
це чужа нескінченність, якої тобі не пізнати.
Два – це сховок померлих
і бездонне страждання воскреслих.
Ненависне померлим число
і число, що вколисує жінку,
котру світло злякає, тремтливе від голосу півня,
що тепер буде здатен хіба злетіти над снігом,
з-під якого ми зростимо
лиш марнотрав’я цвинтарне.";8;;;
35;Oleksandr Irvanets;Oleksandr Irvanets;1/12/2014;Ukrainian;No;"НОВЕ ПРОЧИТАННЯ
Навіяно Юрій Лисенко 
***
Як не в друзів, то в кого ж цупить віршів обрубки?! 
Позаяк, на тобі окошилось: 
""Задзвонив телефон. 
Не знімаю я трубки. 
Ще пів-пляшки лишилось"". 
Ах, хохлушки і ляшки, я любив ваші ляжки - 
Безневинная шалость! 
І у мене постійно лишалось пів-пляшки,
Все пів-пляшки лишалось. 
А навколо цвіли куртизанки, і гейші, й монашки, 
Мудреці, хитруни і кретини. 
Незоглянувся й як, а вже випито з пляшки 
Дві конкретні третини.
Та повзе біографія, наче змія, 
Все у напрямку смерті. 
Глянув знову - вже випита пляшка моя - 
Без малого три чверті... 
Я пальто розстебну, сенс життя осягну,
Та побий мене грім, або ""Беркут"", 
Але я ще надовго її розтягну - 
Безкінечну останню чвертку! 
У житті воно різно: то солоно, то прісно - 
Як вже карта лягти собі зволить. 
Та я знаю напевно, що рано чи пізно 
Телефон і мені задзвонить...";73;12;6;
36;Serhii Zhadan;Serhii Zhadan;1/12/2014;Ukrainian;No;"імміґрант зонг 
немає нічого тривалішого за ці речі 
немає нічого ріднішого за ці муки 
на виїзді з міста сніг ляже на плечі 
торкнувшись йому лиця наче жіночі руки
дорогою перегоном котиться поїзд на захід 
плачуть губні гармонії з адресами сірниками 
плач повоєнна європо хай будуть тобі мов закид 
сумні чоловічі бари набиті мандрівниками
бо він уже не повернеться навіть коли захоче 
вода усіх океанів йому вимиває очі 
бо він не приїде назад і що з нього можна взяти 
серед блаженної пам’яті червоних п’ятдесятих
окрім готичних контурів завчених ним абеток 
окрім гранат і листівок окрім птахів таблеток 
пам’ять про нього дбає пам’ять рахує лічить 
в одну й ту саму ріку снаряд не влучає двічі
вулиця затихає здригаються пальці посуд 
смирення втрапляє в тіло мов пробиває вістрям 
коли приходить смерть коли зостається осад 
коли останнє ім’я видихуєш разом з повітрям
бо смерть наче білий цукор обліплює зуби ясна 
зі смертю приходить терпіння спускається і дається 
і починається тиша тиша раптова вчасна 
в якій не чути нічого навіть власного серця";277;5;51;
37;Andrij Bondar;Andrij Bondar;1/13/2014;Russian;No;"Папа может, Папа может
Всё, что угодно...
Только Батей, только Батей
Не может быть.";133;8;2;
